"ID","host_id","price_dollars","latitude","longitude","dist_stephansdom_km","dist_schonbrunn_km","dist_train_station_km","neighbourhood","room_type","accomodates","bathrooms","beds","cleaning_service","air_conditioning","self_checkin","host_acceptance_rate","host_listings_count","number_of_reviews","apt_age_days","review_scores_rating","reviews_per_month"
99058,95125368,65,48.1957016,16.327468,3.69,1.91,3.61,"Rudolfsheim-Fünfhaus","Entire home/apt",4,1,3,"1","0","1",1,4,44,210,4.8,6.29
54093,156404033,78,48.1954873273076,16.3892352353086,1.82,6.31,1.62,"Landstraße","Entire home/apt",4,1,2,"0","0","1",1,113,3,26,3.67,3
70191,511347706,50,48.179098023925,16.368436999619,3.25,4.79,0.79,"Favoriten","Private room",1,1,1,"0","0","0",0.9,5,13,148,4.15,2.64
49505,561630754,46,48.23771,16.38306,3.37,8.06,5.87,"Brigittenau","Entire home/apt",2,1,1,"1","0","1",1,16,16,186,4.38,2.58
74091,552595734,70,48.14006,16.4008,7.83,8.83,5.42,"Favoriten","Entire home/apt",2,1,1,"1","0","1",0.72,4,27,185,4.56,4.38
74855,561630754,55,48.19093,16.35481,2.36,3.72,1.53,"Margareten","Entire home/apt",4,1,2,"0","0","1",1,16,24,186,4.21,3.87
21136,561630754,49,48.17582,16.39213,3.84,6.58,1.73,"Favoriten","Entire home/apt",2,1,1,"1","0","1",1,16,21,192,4.19,3.28
31522,561630754,59,48.18914,16.36115,2.3,4.17,1.02,"Margareten","Entire home/apt",2,1,1,"1","0","1",1,16,14,149,4.14,2.82
11656,560447677,45,48.1927932024101,16.3379820855151,3.14,2.52,2.77,"Rudolfsheim-Fünfhaus","Entire home/apt",2,1,1,"1","0","1",1,26,29,164,4.72,5.3
71707,560447677,53,48.19275,16.33702,3.2,2.45,2.84,"Rudolfsheim-Fünfhaus","Entire home/apt",4,1,2,"1","0","1",1,26,23,188,4.52,3.67
88171,560447677,60,48.19068,16.33747,3.31,2.44,2.75,"Mariahilf","Entire home/apt",4,1,2,"1","0","1",1,26,15,169,4.07,2.66
